(-35.0117,1139.13)
(-35.0899,1139.05)
(-35.168,1138.97)
(-35.2462,1138.9)
(-35.3243,1138.82)
(-35.4025,1138.74)
(-35.4806,1138.66)
(-35.5588,1138.58)
(-35.6369,1138.51)
(-35.7151,1138.43)
(-35.7932,1138.35)
(-35.8714,1138.27)
(-35.9495,1138.19)
(-36.0277,1138.12)
(-36.1058,1138.04)
(-36.184,1137.96)
(-36.2621,1137.88)
(-36.3403,1137.8)
(-36.4184,1137.72)
(-36.4966,1137.65)
(-36.5747,1137.57)
(-36.6529,1137.49)
(-36.731,1137.41)
(-36.8092,1137.33)
(-36.8873,1137.26)
(-36.9655,1137.18)
(-37.0436,1137.1)
(-37.1218,1137.02)
(-37.1999,1136.94)
(-37.2781,1136.86)
(-37.3562,1136.79)
(-37.4344,1136.71)
(-37.5126,1136.63)
(-37.5907,1136.55)
(-37.6689,1136.47)
(-37.747,1136.4)
(-37.8252,1136.32)
(-37.9033,1136.24)
(-37.9815,1136.16)
(-38.0596,1136.08)
(-38.1378,1136.01)
(-38.2159,1135.93)
(-38.2941,1135.85)
(-38.3722,1135.77)
(-38.4504,1135.69)
(-38.5285,1135.61)
(-38.6067,1135.54)
(-38.6848,1135.46)
(-38.763,1135.38)
(-38.8411,1135.3)
(-38.9193,1135.22)
(-38.9974,1135.15)
(-39.0756,1135.07)
(-39.1537,1134.99)
(-39.2319,1134.91)
(-39.31,1134.83)
(-39.3882,1134.75)
(-39.4663,1134.68)
(-39.5445,1134.6)
(-39.6226,1134.52)
(-39.7008,1134.44)
(-39.7789,1134.36)
(-39.8571,1134.29)
(-39.9352,1134.21)
(-40.0134,1134.13)
(-40.0915,1134.05)
(-40.1697,1133.97)
(-40.2478,1133.9)
(-40.326,1133.82)
(-40.4041,1133.74)
(-40.4823,1133.66)
(-40.5604,1133.58)
(-40.6386,1133.5)
(-40.7167,1133.43)
(-40.7949,1133.35)
(-40.8731,1133.27)
(-40.9512,1133.19)
(-41.0294,1133.11)
(-41.1075,1133.04)
(-41.1857,1132.96)
(-41.2638,1132.88)
(-41.342,1132.8)
(-41.4201,1132.72)
(-41.4983,1132.64)
(-41.5764,1132.57)
(-41.6546,1132.49)
(-41.7327,1132.41)
(-41.8109,1132.33)
(-41.889,1132.25)
(-41.9672,1132.18)
(-42.0453,1132.1)
(-42.1235,1132.02)
(-42.2016,1131.94)
(-42.2798,1131.86)
(-42.3579,1131.78)
(-42.4361,1131.71)
(-42.5142,1131.63)
(-42.5924,1131.55)
(-42.6705,1131.47)
(-42.7487,1131.39)
(-42.8268,1131.32)
(-42.905,1131.24)
(-42.9831,1131.16)
(-43.0613,1131.08)
(-43.1394,1131)
(-43.2176,1130.93)
(-43.2957,1130.85)
(-43.3739,1130.77)
(-43.452,1130.69)
(-43.5302,1130.61)
(-43.6083,1130.53)
(-43.6865,1130.46)
(-43.7646,1130.38)
(-43.8428,1130.3)
(-43.9209,1130.22)
(-43.9991,1130.14)
(-44.0772,1130.07)
(-44.1554,1129.99)
(-44.2336,1129.91)
(-44.3117,1129.83)
(-44.3899,1129.75)
(-44.468,1129.67)
(-44.5462,1129.6)
(-44.6243,1129.52)
(-44.7025,1129.44)
(-44.7806,1129.36)
(-44.8588,1129.28)
(-44.9369,1129.21)
(-45.0151,1129.13)
(-45.0932,1129.05)
(-45.1714,1128.97)
(-45.2495,1128.89)
(-45.3277,1128.82)
(-45.4058,1128.74)
(-45.484,1128.66)
(-45.5621,1128.58)
(-45.6403,1128.5)
(-45.7184,1128.42)
(-45.7966,1128.35)
(-45.8747,1128.27)
(-45.9529,1128.19)
(-46.031,1128.11)
(-46.1092,1128.03)
(-46.1873,1127.96)
(-46.2655,1127.88)
(-46.3436,1127.8)
(-46.4218,1127.72)
(-46.4999,1127.64)
(-46.5781,1127.56)
(-46.6562,1127.49)
(-46.7344,1127.41)
(-46.8125,1127.33)
(-46.8907,1127.25)
(-46.9688,1127.17)
(-47.047,1127.1)
(-47.1251,1127.02)
(-47.2033,1126.94)
(-47.2814,1126.86)
(-47.3596,1126.78)
(-47.4377,1126.71)
(-47.5159,1126.63)
(-47.5941,1126.55)
(-47.6722,1126.47)
(-47.7504,1126.39)
(-47.8285,1126.31)
(-47.9067,1126.24)
(-47.9848,1126.16)
(-48.063,1126.08)
(-48.1411,1126)
(-48.2193,1125.92)
(-48.2974,1125.85)
(-48.3756,1125.77)
(-48.4537,1125.69)
(-48.5319,1125.61)
(-48.61,1125.53)
(-48.6882,1125.45)
(-48.7663,1125.38)
(-48.8445,1125.3)
(-48.9226,1125.22)
(-49.0008,1125.14)
(-49.0789,1125.06)
(-49.1571,1124.99)
(-49.2352,1124.91)
(-49.3134,1124.83)
(-49.3915,1124.75)
(-49.4697,1124.67)
(-49.5478,1124.6)
(-49.626,1124.52)
(-49.7041,1124.44)
(-49.7823,1124.36)
(-49.8604,1124.28)
(-49.9386,1124.2)
(-50.0167,1124.13)
(-50.0949,1124.05)
(-50.173,1123.97)
(-50.2512,1123.89)
(-50.3293,1123.81)
(-50.4075,1123.74)
(-50.4856,1123.66)
(-50.5638,1123.58)
(-50.6419,1123.5)
(-50.7201,1123.42)
(-50.7982,1123.34)
(-50.8764,1123.27)
(-50.9545,1123.19)
(-51.0327,1123.11)
(-51.1109,1123.03)
(-51.189,1122.95)
(-51.2672,1122.88)
(-51.3453,1122.8)
(-51.4235,1122.72)
(-51.5016,1122.64)
(-51.5798,1122.56)
(-51.6579,1122.48)
(-51.7361,1122.41)
(-51.8142,1122.33)
(-51.8924,1122.25)
(-51.9705,1122.17)
(-52.0487,1122.09)
(-52.1268,1122.02)
(-52.205,1121.94)
(-52.2831,1121.86)
(-52.3613,1121.78)
(-52.4394,1121.7)
(-52.5176,1121.63)
(-52.5957,1121.55)
(-52.6739,1121.47)
(-52.752,1121.39)
(-52.8302,1121.31)
(-52.9083,1121.23)
(-52.9865,1121.16)
(-53.0646,1121.08)
(-53.1428,1121)
(-53.2209,1120.92)
(-53.2991,1120.84)
(-53.3772,1120.77)
(-53.4554,1120.69)
(-53.5335,1120.61)
(-53.6117,1120.53)
(-53.6898,1120.45)
(-53.768,1120.37)
(-53.8461,1120.3)
(-53.9243,1120.22)
(-54.0024,1120.14)
(-54.0806,1120.06)
(-54.1587,1119.98)
(-54.2369,1119.91)
(-54.315,1119.83)
(-54.3932,1119.75)
(-54.4714,1119.67)
(-54.5495,1119.59)
(-54.6277,1119.52)
(-54.7058,1119.44)
(-54.784,1119.36)
(-54.8621,1119.28)
(-54.9403,1119.2)
(-55.0184,1119.12)
(-55.0966,1119.05)
(-55.1747,1118.97)
(-55.2529,1118.89)
(-55.331,1118.81)
(-55.4092,1118.73)
(-55.4873,1118.66)
(-55.5655,1118.58)
(-55.6436,1118.5)
(-55.7218,1118.42)
(-55.7999,1118.34)
(-55.8781,1118.26)
(-55.9562,1118.19)
(-56.0344,1118.11)
(-56.1125,1118.03)
(-56.1907,1117.95)
(-56.2688,1117.87)
(-56.347,1117.8)
(-56.4251,1117.72)
(-56.5033,1117.64)
(-56.5814,1117.56)
(-56.6596,1117.48)
(-56.7377,1117.41)
(-56.8159,1117.33)
(-56.894,1117.25)
(-56.9722,1117.17)
(-57.0503,1117.09)
(-57.1285,1117.01)
(-57.2066,1116.94)
(-57.2848,1116.86)
(-57.3629,1116.78)
(-57.4411,1116.7)
(-57.5192,1116.62)
(-57.5974,1116.55)
(-57.6755,1116.47)
(-57.7537,1116.39)
(-57.8319,1116.31)
(-57.91,1116.23)
(-57.9882,1116.15)
(-58.0663,1116.08)
(-58.1445,1116)
(-58.2226,1115.92)
(-58.3008,1115.84)
(-58.3789,1115.76)
(-58.4571,1115.69)
(-58.5352,1115.61)
(-58.6134,1115.53)
(-58.6915,1115.45)
(-58.7697,1115.37)
(-58.8478,1115.3)
(-58.926,1115.22)
(-59.0041,1115.14)
(-59.0823,1115.06)
(-59.1604,1114.98)
(-59.2386,1114.9)
(-59.3167,1114.83)
(-59.3949,1114.75)
(-59.473,1114.67)
(-59.5512,1114.59)
(-59.6293,1114.51)
(-59.7075,1114.44)
(-59.7856,1114.36)
(-59.8638,1114.28)
(-59.9419,1114.2)
(-60.0201,1114.12)
(-60.0982,1114.04)
(-60.1764,1113.97)
(-60.2545,1113.89)
(-60.3327,1113.81)
(-60.4108,1113.73)
(-60.489,1113.65)
(-60.5671,1113.58)
(-60.6453,1113.5)
(-60.7234,1113.42)
(-60.8016,1113.34)
(-60.8797,1113.26)
(-60.9579,1113.18)
(-61.036,1113.11)
(-61.1142,1113.03)
(-61.1924,1112.95)
(-61.2705,1112.87)
(-61.3487,1112.79)
(-61.4268,1112.72)
(-61.505,1112.64)
(-61.5831,1112.56)
(-61.6613,1112.48)
(-61.7394,1112.4)
(-61.8176,1112.33)
(-61.8957,1112.25)
(-61.9739,1112.17)
(-62.052,1112.09)
(-62.1302,1112.01)
(-62.2083,1111.93)
(-62.2865,1111.86)
(-62.3646,1111.78)
(-62.4428,1111.7)
(-62.5209,1111.62)
(-62.5991,1111.54)
(-62.6772,1111.47)
(-62.7554,1111.39)
(-62.8335,1111.31)
(-62.9117,1111.23)
(-62.9898,1111.15)
(-63.068,1111.07)
(-63.1461,1111)
(-63.2243,1110.92)
(-63.3024,1110.84)
(-63.3806,1110.76)
(-63.4587,1110.68)
(-63.5369,1110.61)
(-63.615,1110.53)
(-63.6932,1110.45)
(-63.7713,1110.37)
(-63.8495,1110.29)
(-63.9276,1110.22)
(-64.0058,1110.14)
(-64.0839,1110.06)
(-64.1621,1109.98)
(-64.2402,1109.9)
(-64.3184,1109.82)
(-64.3965,1109.75)
(-64.4747,1109.67)
(-64.5528,1109.59)
(-64.631,1109.51)
(-64.7092,1109.43)
(-64.7873,1109.36)
(-64.8655,1109.28)
(-64.9436,1109.2)
(-65.0218,1109.12)
(-65.0999,1109.04)
(-65.1781,1108.96)
(-65.2562,1108.89)
(-65.3344,1108.81)
(-65.4125,1108.73)
(-65.4907,1108.65)
(-65.5688,1108.57)
(-65.647,1108.5)
(-65.7251,1108.42)
